pmcid	forename_lastname	affiliation
7314779	Chang Yeol_Yang	Horticultural and Herbal Crop Environment Division, National Institute of Horticultural and Herbal Science, Wanju, Republic of Korea 
7314779	Kenji_Mori	Photosensitive Materials Research Center, Toyo Gosei Co., Ltd, 4-2-1 Wakahagi, Inzai-shi, Chiba 270-1609 Japan 
7314779	Junheon_Kim	0000 0000 9151 8497grid.418977.4Forest Insect Pests and Diseases Division, National Institute of Forest Science, Seoul, Republic of Korea 
7314779	Ki Bong_Kwon	AD Corporation, Andong, Gyeongsangbuk-do Republic of Korea 
6854116	Angela M._Mech	1School of Environmental and Forest SciencesUniversity of WashingtonSeattleWashington
6854116	Kathryn A._Thomas	2Southwest Biological Science CenterU.S. Geological SurveyTucsonArizona
6854116	Travis D._Marsico	3Department of Biological SciencesArkansas State UniversityJonesboroArkansas
6854116	Daniel A._Herms	4The Davey Tree Expert CompanyKentOhio
6854116	Craig R._Allen	5Nebraska Cooperative Fish and Wildlife UnitSchool of Natural ResourcesU.S. Geological SurveyUniversity of Nebraska&#x2010;LincolnLincolnNebraska
6854116	Matthew P._Ayres	6Department of Biological SciencesDartmouth CollegeHanoverNew Hampshire
6854116	Kamal J. K._Gandhi	7D.B. Warnell School of Forestry and Natural ResourcesUniversity of GeorgiaAthensGeorgia
6854116	Jessica_Gurevitch	8Department of Ecology and EvolutionStony Brook UniversityStony BrookNew York
6854116	Nathan P._Havill	9Northern Research StationUSDA Forest ServiceHamdenConnecticut
6854116	Ruth A._Hufbauer	10Department of Bioagricultural Science and Pest ManagementColorado State UniversityFort CollinsColorado
6854116	Andrew M._Liebhold	11USDA Forest Service Northern Research StationMorgantownWest Virginia
6854116	Kenneth F._Raffa	12Department of EntomologyUniversity of WisconsinMadisonWisconsin
6854116	Ashley N._Schulz	3Department of Biological SciencesArkansas State UniversityJonesboroArkansas
6854116	Daniel R._Uden	13Nebraska Cooperative Fish and Wildlife UnitDepartment of Agronomy and HorticultureSchool of Natural ResourcesUniversity of Nebraska&#x2010;LincolnLincolnNebraska
6854116	Patrick C._Tobin	1School of Environmental and Forest SciencesUniversity of WashingtonSeattleWashington
6336328	Qing-Wei_Meng	Education Ministry Key Laboratory of Integrated Management of Crop Diseases and Pests, College of Plant Protection, Nanjing Agricultural University, Nanjing, China
6336328	Qing-Yu_Xu	Education Ministry Key Laboratory of Integrated Management of Crop Diseases and Pests, College of Plant Protection, Nanjing Agricultural University, Nanjing, China
6336328	Tao-Tao_Zhu	Education Ministry Key Laboratory of Integrated Management of Crop Diseases and Pests, College of Plant Protection, Nanjing Agricultural University, Nanjing, China
6336328	Lin_Jin	Education Ministry Key Laboratory of Integrated Management of Crop Diseases and Pests, College of Plant Protection, Nanjing Agricultural University, Nanjing, China
6336328	Kai-Yun_Fu	Department of Plant Protection, Xinjiang Academy of Agricultural Sciences, Urumqi, China
6336328	Wen-Chao_Guo	Department of Plant Protection, Xinjiang Academy of Agricultural Sciences, Urumqi, China
6336328	Guo-Qing_Li	Education Ministry Key Laboratory of Integrated Management of Crop Diseases and Pests, College of Plant Protection, Nanjing Agricultural University, Nanjing, China
4328775	Panisara_Pinkantayong	The University of Tokyo Forests, Graduate School of Agricultural and Life Sciences, The University of Tokyo          Tokyo, Japan        
4328775	Satoshi_Suzuki	The University of Tokyo Chichibu Forest, Graduate School of Agricultural and Life Sciences, The University of Tokyo          Chichibu, Japan        
4328775	Mamoru_Kubo	Department of Electrical and Computer Engineering, Graduate School of Natural Science and Technology, Kanazawa University          Kanazawa, Japan        
4328775	Ken-ichiro_Muramoto	Ishikawa National College of Technology          Tsubata, Ishikawa, Japan        
