pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7406544	Liangming_Cao	Key Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, ChinaKey Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
7406544	Jianxin_Cui	Department of Plant Protection, Henan Institute of Science and Technology, Xinxiang, ChinaDepartment of Plant Protection, Henan Institute of Science and TechnologyXinxiangChina
7406544	Xiaoyi_Wang	Key Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, ChinaKey Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
7406544	Guisen_Wang	Shunwang Street Agricultural Comprehensive Service Center, Zhucheng City, ChinaShunwang Street Agricultural Comprehensive Service CenterZhucheng CityChina
7406544	Zhongqi_Yang	Key Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, ChinaKey Laboratory of Forest Protection of National Forestry and Grassland Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6925271	Alenka_&#x17D;uni&#x10D;-Kosi	0000 0004 0637 0790grid.419523.8National Institute of Biology, Department of Organisms and Ecosystem Research, Ljubljana, Slovenia 
6925271	Nata&#x161;a_Stritih-Peljhan	0000 0004 0637 0790grid.419523.8National Institute of Biology, Department of Organisms and Ecosystem Research, Ljubljana, Slovenia 
6925271	Yunfan_Zou	University of California, Department of Entomology, Riverside, California, United States of America 
6925271	J. Steven_McElfresh	University of California, Department of Entomology, Riverside, California, United States of America 
6925271	Jocelyn G._Millar	University of California, Department of Entomology, Riverside, California, United States of America 
6418187	Ann M._Ray	0000 0004 1936 7849grid.268352.8Department of Biology, Xavier University, 1548 Musketeer Drive, Cincinnati, OH 45207 USA 
6418187	Joseph A._Francese	USDA-APHIS-PPQ-CPHST Otis Laboratory, 1398 W. Truck Road, Buzzards Bay, MA 02542 USA 
6418187	Yunfan_Zou	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, 900 University Avenue, Riverside, CA 92521 USA 
6418187	Kristopher_Watson	Utah Department of Agriculture and Food, 350 North Redwood Road, PO Box 146500, Salt Lake City, Utah 84114 USA 
6418187	Damon J._Crook	USDA-APHIS-PPQ-CPHST Otis Laboratory, 1398 W. Truck Road, Buzzards Bay, MA 02542 USA 
6418187	Jocelyn G._Millar	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, 900 University Avenue, Riverside, CA 92521 USA 
6463110	&#xC9;milie D._Tremblay	Canadian Food Inspection Agency, 3851 Fallowfield Road, Nepean, ON K2H 8P9, Canada; 
6463110	Troy_Kimoto	Canadian Food Inspection Agency, 4321 Still Creek Dr, Burnaby, BC V5C 6S7, Canada; 
6463110	Jean A._B&#xE9;rub&#xE9;	Natural Resources Canada, Laurentian Forestry Centre, 1055 Du P.E.P.S. Street, P.O. Box 10380 Qu&#xE9;bec, QC G1V 4C7, Canada; 
6463110	Guillaume J._Bilodeau	Canadian Food Inspection Agency, 3851 Fallowfield Road, Nepean, ON K2H 8P9, Canada; 
6299065	Lech_Karpi&#x144;ski	Museum and Institute of Zoology, Polish Academy of Sciences, Wilcza 64, 00-679 Warsaw, Poland
6299065	Wojciech T._Szczepa&#x144;ski	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland
6299065	Rados&#x142;aw_lewa	Department of Forest Protection, Forest Research Institute, S&#x119;kocin Stary, Braci Le&#x15B;nej 3, 05-090 Raszyn, Poland
6299065	Marcin_Walczak	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland
6299065	Jacek_Hilszcza&#x144;ski	Department of Forest Protection, Forest Research Institute, S&#x119;kocin Stary, Braci Le&#x15B;nej 3, 05-090 Raszyn, Poland
6299065	Lech_Kruszelnicki	W&#x142;adys&#x142;awa Jagie&#x142;&#x142;y 7c/45, 41-106 Siemianowice &#x15A;l&#x105;skie, Poland
6299065	Krzysztof_&#x141;o&#x15B;	Al. Chopina 102a, 05-092 &#x141;omianki Dolne, Poland
6299065	Tomasz_Jaworski	Department of Forest Protection, Forest Research Institute, S&#x119;kocin Stary, Braci Le&#x15B;nej 3, 05-090 Raszyn, Poland
6299065	UNKNOWN_Marek Bidas	Prosta 290 D/2, 25-385 Kielce, Poland
6299065	Grzegorz_Tarwacki	Department of Forest Protection, Forest Research Institute, S&#x119;kocin Stary, Braci Le&#x15B;nej 3, 05-090 Raszyn, Poland
6030058	Waleed S._Mohammed	0000 0004 0543 9688grid.77268.3cDepartment of Microbiology, Institute of Fundamental Medicine and Biology, Kazan (Volga Region) Federal University, Kazan, 420008 Russia 
6030058	Elvira E._Ziganshina	0000 0004 0543 9688grid.77268.3cDepartment of Microbiology, Institute of Fundamental Medicine and Biology, Kazan (Volga Region) Federal University, Kazan, 420008 Russia 
6030058	Elena I._Shagimardanova	0000 0004 0543 9688grid.77268.3cLaboratory of Extreme Biology, Institute of Fundamental Medicine and Biology, Kazan (Volga Region) Federal University, Kazan, 420021 Russia 
6030058	Natalia E._Gogoleva	0000 0004 0543 9688grid.77268.3cLaboratory of Extreme Biology, Institute of Fundamental Medicine and Biology, Kazan (Volga Region) Federal University, Kazan, 420021 Russia 
6030058	Ayrat M._Ziganshin	0000 0004 0543 9688grid.77268.3cDepartment of Microbiology, Institute of Fundamental Medicine and Biology, Kazan (Volga Region) Federal University, Kazan, 420008 Russia 
5847043	Jakub_Gocza&#x142;	0000 0001 2150 7124grid.410701.3Institute of Forest Ecosystem Protection, Faculty of Forestry, University of Agriculture in Krakow, 29 Listopada 46, 31-425, Krakow, Poland 
5847043	Robert_Rossa	0000 0001 2150 7124grid.410701.3Institute of Forest Ecosystem Protection, Faculty of Forestry, University of Agriculture in Krakow, 29 Listopada 46, 31-425, Krakow, Poland 
5847043	Adam_Tofilski	0000 0001 2150 7124grid.410701.3Department of Pomology and Apiculture, Faculty of Biotechnology and Horticulture, University of Agriculture in Krakow, 29 Listopada 54, 31-425 Krakow, Poland 
5238391	Yunke_Wu	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	Nevada F._Trepanowski	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	John J._Molongoski	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	Peter F._Reagel	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	Steven W._Lingafelter	Animal and Plant Health Inspection Service, United States Department of Agriculture, Nogales, Arizona, United States of America
5238391	Hannah_Nadel	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	Scott W._Myers	Otis Laboratory, Center for Plant Health, Science and Technology, Animal and Plant Health Inspection Service, United States Department of Agriculture, Buzzards Bay, Massachusetts, United States of America
5238391	Ann M._Ray	Department of Biology, Xavier University, Cincinnati, Ohio, United States of America
4978010	Abdysalom Kh._Kadyrov	Tajik National University, Rudaki 17, 734025 Dushanbe, Tajikistan      
4978010	Lech_Karpi&#x144;ski	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland      
4978010	Wojciech T._Szczepa&#x144;ski	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland      
4978010	Artur_Taszakowski	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland      
4978010	Marcin_Walczak	Department of Zoology, Faculty of Biology and Environmental Protection, University of Silesia, Bankowa 9, 40-007 Katowice, Poland      
